name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch	status	status_description
A26	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A27	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A28	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A29	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A30	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A31	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A32	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A33	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A34	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A35	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A36	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A37	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A38	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A39	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A40	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A41	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A42	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A43	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A44	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A45	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A46	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A47	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A48	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
A49	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A50	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A51	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A52	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A53	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A54	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A55	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A56	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A57	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A58	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A59	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A60	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A61	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A62	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A63	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
A64	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B1	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B2	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B3	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B4	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B5	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B6	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B7	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B8	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B9	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B10	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B11	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B12	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B13	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B14	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B15	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B16	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B17	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B18	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B19	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B20	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B21	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B22	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B23	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B24	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B25	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B26	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B27	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B28	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B29	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B30	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B31	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B32	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B33	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B34	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B35	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B36	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B37	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B38	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B39	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B40	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B41	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B42	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B43	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B44	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B45	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B46	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B47	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B48	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B49	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	artifact
B50	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B51	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B52	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B53	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B54	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B55	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B56	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B57	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B58	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B59	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B60	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	good	n/a
B61	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B62	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
B63	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	seizure onset zone
B64	ECOG	μV	0.016	300	n/a	n/a	1000	n/a	n/a	bad	spiking
